Servant,id,Avatar,avp,AvatarMax,Nick,R,Class,Attr.,C1,C2,C3,C4,C5,HP,ATK,Availability,asc11,asc11n,asc12,asc12n,asc13,asc13n,asc21,,asc22,,asc23,,asc24,,asc31,,asc32,,asc33,,asc41,,asc42,,asc43,,asc44,,skill11,,skill12,,skill13,,skill21,,skill22,,skill23,,skill24,,skill31,,skill32,,skill33,,skill41,,skill42,,skill43,,skill44,,skill51,,skill52,,skill53,,skill61,,skill62,,skill63,,skill64,,skill71,,skill72,,skill81,,skill82,,campaign1,campaign2,campaign3
Kiyohime [Lancer],134,https://vignette.wikia.nocookie.net/fategrandorder/images/0/05/KiyohimeLancericon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/2/2c/KiyohimeLancerFinalIcon.png/revision/latest?cb=20180214132233,Summer Kiyo,4,Lancer,Earth,B,B,A,Q,Q,11870,8936,Limited,pieceLancer,4,,,,,pieceLancer,10,Crystal,6,,,,,monumentLancer,4,Seashell,8,Grease,3,monumentLancer,10,Grease,5,Lamp,6,,,blueLancer,4,,,,,blueLancer,10,,,,,,,redLancer,4,,,,,redLancer,10,Seashell,4,,,,,goldLancer,4,Seashell,8,,,goldLancer,10,Crystal,4,,,,,Crystal,8,Fang,12,Fang,36,Scale,8,,,
Lakshmi Bai,245,https://vignette.wikia.nocookie.net/fategrandorder/images/1/1c/S245Icon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/b/b7/LakshmibaiFinalIcon.png,Lakshmi,4,Saber,Man,B,B,A,Q,Q,11362,9949,Permanent,pieceSaber,4,,,,,pieceSaber,8,Proof,18,,,,,monumentSaber,4,Horn,5,Feather,4,monumentSaber,8,Feather,7,Mirror,4,,,blueSaber,4,,,,,blueSaber,10,,,,,,,redSaber,4,,,,,redSaber,10,Horn,3,,,,,goldSaber,4,Horn,5,,,goldSaber,10,Proof,12,,,,,Proof,24,Gunpowder,15,Gunpowder,45,Steel,20,Yuga Kshetra Chapter Release,Interlude Campaign 13,
Lancelot,48,https://vignette.wikia.nocookie.net/fategrandorder/images/8/80/Lanceloticon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/5/5d/LancelotFinalIcon.png/revision/latest?cb=20180218073639,Lancelot,4,Berserker,Earth,B,B,B,A,Q,10327,10477,Permanent,pieceBerserker,4,,,,,pieceBerserker,10,Scale,3,,,,,monumentBerserker,4,Claw,5,Dust,8,monumentBerserker,10,Dust,16,Fang,24,,,blueBerserker,4,,,,,blueBerserker,10,,,,,,,redBerserker,4,,,,,redBerserker,10,Claw,3,,,,,goldBerserker,4,Claw,5,,,goldBerserker,10,Scale,2,,,,,Scale,4,Horseshoe,5,Horseshoe,15,Fang,48,,,
Lancelot [Saber],121,https://vignette.wikia.nocookie.net/fategrandorder/images/d/d2/Lancelot_Saber_icon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/e/ea/LancelotSaberFinalIcon.png/revision/latest?cb=20180212152449,Saberlot,4,Saber,Earth,B,B,A,A,Q,11589,9949,Permanent,pieceSaber,4,,,,,pieceSaber,10,Gear,6,,,,,monumentSaber,4,Medal,16,Fang,10,monumentSaber,10,Fang,20,Scale,4,,,blueSaber,4,,,,,blueSaber,10,,,,,,,redSaber,4,,,,,redSaber,10,Medal,8,,,,,goldSaber,4,Medal,16,,,goldSaber,10,Gear,4,,,,,Gear,8,Dust,10,Dust,30,Tearstone,12,Holy Grail Front - Camelot,,
Leonardo Da Vinci,127,https://vignette.wikia.nocookie.net/fategrandorder/images/d/d0/Davinciicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/d/dd/DaVinciFinalIcon.png/revision/latest?cb=20180216122931,Da Vinci,5,Caster,Star,B,A,A,A,Q,14259,10598,Limited,pieceCaster,5,,,,,pieceCaster,12,Gear,8,,,,,monumentCaster,5,Feather,8,Root,2,monumentCaster,12,Root,4,Scarab,5,,,blueCaster,5,,,,,blueCaster,12,,,,,,,redCaster,5,,,,,redCaster,12,Feather,4,,,,,goldCaster,5,Feather,8,,,goldCaster,12,Gear,5,,,,,Gear,10,Page,6,Page,18,Grease,15,20M Downloads Campaign,,
Leonardo Da Vinci [Rider],253,https://cdn.discordapp.com/attachments/320016538872709120/607538421036089357/LeonardoDaVinciRiderIcon.png,,https://cdn.discordapp.com/attachments/320016538872709120/607538471728316416/LeonardoDaVinciRiderFinalIcon.png,Da Vinci Lily,5,Rider,Man,B,B,A,A,Q,14112,10883,Limited,pieceRider,5,,,,,pieceRider,12,Baby,8,,,,,monumentRider,5,Horseshoe,10,Gear,5,monumentRider,12,Gear,10,Scarab,5,,,blueRider,5,,,,,blueRider,12,,,,,,,redRider,5,,,,,redRider,12,Horseshoe,5,,,,,goldRider,5,Horseshoe,10,,,goldRider,12,Baby,5,,,,,Baby,10,Core,4,Core,11,Egg,10,4th Anniversary,5th Anniversary,
Leonidas I,21,https://vignette.wikia.nocookie.net/fategrandorder/images/3/3d/Leonidasicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/d/d0/LeonidasFinalIcon.png/revision/latest?cb=20180214130207,Leonidas,2,Lancer,Man,B,B,A,Q,Q,7959,6583,Permanent,pieceLancer,3,,,,,pieceLancer,6,Claw,3,,,,,monumentLancer,3,Dust,10,Crystal,3,monumentLancer,6,Crystal,5,Bone,18,,,blueLancer,3,,,,,blueLancer,6,,,,,,,redLancer,3,,,,,redLancer,6,Dust,5,,,,,goldLancer,3,Dust,10,,,goldLancer,6,Claw,2,,,,,Claw,3,Jewel,3,Jewel,8,Bone,36,,,
Li Shuwen,102,https://vignette.wikia.nocookie.net/fategrandorder/images/3/3f/Shuwenicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/9/92/LiShuwenLancerFinalIcon.png/revision/latest?cb=20180214132122,Li Shuwen,4,Lancer,Man,B,A,A,Q,Q,11360,9653,Story-locked,pieceLancer,4,,,,,pieceLancer,10,Fang,15,,,,,monumentLancer,4,Crystal,8,Claw,3,monumentLancer,10,Claw,5,Scale,4,,,blueLancer,4,,,,,blueLancer,10,,,,,,,redLancer,4,,,,,redLancer,10,Crystal,4,,,,,goldLancer,4,Crystal,8,,,goldLancer,10,Fang,10,,,,,Fang,20,Dust,10,Dust,30,Horn,12,21M Downloads Campaign,,
Li Shuwen [Assassin],235,https://vignette.wikia.nocookie.net/fategrandorder/images/1/1b/S235Icon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/e/ee/LiShuwenAssassinFinalIcon.png/revision/latest?cb=20190108150320,Old Li,5,Assassin,Man,B,B,A,A,Q,12568,11470,Story-locked,pieceAssassin,5,,,,,pieceAssassin,12,Bone,22,,,,,monumentAssassin,5,Crystal,10,Wine,2,monumentAssassin,12,Wine,4,Bell,12,,,blueAssassin,5,,,,,blueAssassin,12,,,,,,,redAssassin,5,,,,,redAssassin,12,Crystal,5,,,,,goldAssassin,5,Crystal,10,,,goldAssassin,12,Bone,15,,,,,Bone,29,Stinger,15,Stinger,44,Bell,24,Inn of the Tongue-cut Sparrow Re-Run,Chaldea Boys Collection 2020,Chaldea Boys Collection 2021
Lu Bu Fengxian,49,https://vignette.wikia.nocookie.net/fategrandorder/images/9/9a/Lubuicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/5/50/LuBuFinalIcon.png/revision/latest?cb=20180218073610,Lu Bu,3,Berserker,Man,B,B,B,A,Q,8302,8119,Permanent,pieceBerserker,4,,,,,pieceBerserker,8,Horseshoe,5,,,,,monumentBerserker,4,Bone,20,Claw,2,monumentBerserker,8,Claw,4,Dust,16,,,blueBerserker,4,,,,,blueBerserker,8,,,,,,,redBerserker,4,,,,,redBerserker,8,Bone,10,,,,,goldBerserker,4,Bone,20,,,goldBerserker,8,Horseshoe,4,,,,,Horseshoe,7,Crystal,4,Crystal,12,Dust,32,,,
Mandricardo,273,https://vignette.wikia.nocookie.net/fategrandorder/images/7/74/S273Icon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/e/ec/MandricardoFinalIcon.png,Ricardo,3,Rider,Man,B,A,A,Q,Q,9600,6756,Permanent,pieceRider,4,,,,,pieceRider,8,Dust,10,,,,,monumentRider,4,Chain,20,Horseshoe,4,monumentRider,8,Horseshoe,7,Medal,16,,,blueRider,4,,,,,blueRider,8,,,,,,,redRider,4,,,,,redRider,8,Chain,10,,,,,goldRider,4,Chain,20,,,goldRider,8,Dust,7,,,,,Dust,12,Horn,3,Horn,8,Crown,16,,,
Marie Antoinette,29,https://vignette.wikia.nocookie.net/fategrandorder/images/f/f9/Marieicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/f/ff/MarieAntoinetteFinalIcon.png/revision/latest?cb=20180215130405,Marie,4,Rider,Man,B,A,A,Q,Q,12348,8293,Permanent,pieceRider,4,,,,,pieceRider,10,Feather,5,,,,,monumentRider,4,Jewel,7,Horseshoe,4,monumentRider,10,Horseshoe,8,Gear,10,,,blueRider,4,,,,,blueRider,10,,,,,,,redRider,4,,,,,redRider,10,Jewel,4,,,,,,,Jewel,7,,,,,Feather,4,,,,,Feather,7,Heart,2,Heart,6,Gear,20,Valentine's 2020,,
Marie Antoinette [Caster],130,https://vignette.wikia.nocookie.net/fategrandorder/images/e/ed/MarieCastericon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/b/be/MarieAntoinetteCasterFinalIcon.png/revision/latest?cb=20180216123102,Caster Marie,4,Caster,Man,B,A,A,A,Q,11404,9060,Limited,pieceCaster,4,,,,,pieceCaster,10,Seed,8,,,,,monumentCaster,4,Seashell,8,Feather,4,monumentCaster,10,Feather,7,Scarab,4,,,blueCaster,4,,,,,blueCaster,10,,,,,,,redCaster,4,,,,,redCaster,10,Seashell,4,,,,,goldCaster,4,Seashell,8,,,goldCaster,10,Seed,5,,,,,Seed,10,Jewel,4,Jewel,12,Gear,20,,,
Martha,30,https://vignette.wikia.nocookie.net/fategrandorder/images/2/21/Marthaicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/0/07/MarthaFinalIcon.png/revision/latest?cb=20180215130413,Martha,4,Rider,Man,B,A,A,A,Q,13068,8014,Permanent,pieceRider,4,,,,,pieceRider,10,Fang,15,,,,,monumentRider,4,Seed,10,Claw,3,monumentRider,10,Claw,5,Scale,4,,,blueRider,4,,,,,blueRider,10,,,,,,,redRider,4,,,,,redRider,10,Seed,5,,,,,,,Seed,10,,,,,Fang,10,,,,,Fang,20,Feather,4,Feather,12,Scale,8,,,
Martha [Ruler],135,https://vignette.wikia.nocookie.net/fategrandorder/images/0/08/MarthaRulericon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/2/2f/MarthaRulerFinalIcon.png/revision/latest?cb=20180219123902,Ruler Martha,4,Ruler,Man,B,B,B,A,Q,11250,9546,Limited,pieceSaber,4,pieceRider,4,pieceBerserker,4,pieceArcher,4,pieceLancer,4,pieceCaster,4,pieceCaster,4,monumentSaber,4,monumentRider,4,monumentBerserker,4,monumentArcher,4,monumentLancer,4,monumentCaster,4,monumentAssassin,4,blueSaber,4,blueRider,4,blueBerserker,4,blueArcher,4,blueLancer,4,blueCaster,4,blueAssassin,4,redSaber,4,redRider,4,redBerserker,4,redArcher,4,redLancer,4,redCaster,4,redAssassin,4,goldSaber,4,goldRider,4,goldBerserker,4,goldArcher,4,goldLancer,4,goldCaster,4,goldAssassin,4,Tearstone,6,,,Scale,12,,,Christmas 2020,,
Mash Kyrielight,1,https://vignette.wikia.nocookie.net/fategrandorder/images/a/ab/Mashuicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/b/b6/MashuKyrielightFinalIcon.png/revision/latest?cb=20180211123053,Mashu,4,Shielder,Earth,B,B,A,A,Q,12877,8730,Welfare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Proof,5,,,,,Fang,5,,,,,,,Seed,5,,,,,Crystal,5,,,,,,,Dust,5,,,,,Gear,5,,,,,,,Feather,5,,,Scale,5,,,,,
Mata Hari,45,https://vignette.wikia.nocookie.net/fategrandorder/images/f/f6/Matahariicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/9/93/MataHariFinalIcon.png/revision/latest?cb=20180217094007,Mata Hari,1,Assassin,Man,B,A,Q,Q,Q,6565,5377,Permanent,pieceAssassin,2,,,,,pieceAssassin,4,Feather,2,,,,,monumentAssassin,2,Gear,4,Lantern,2,monumentAssassin,4,Lantern,4,Jewel,4,,,blueAssassin,2,,,,,blueAssassin,4,,,,,,,redAssassin,2,,,,,redAssassin,4,Gear,2,,,,,goldAssassin,2,Gear,4,,,goldAssassin,4,Feather,2,,,,,Feather,3,Baby,2,Baby,6,Jewel,7,,,
Mecha Eli-chan,190,https://vignette.wikia.nocookie.net/fategrandorder/images/a/a7/Icon_Servant_190.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/5/5d/MecaEriChanFinalIcon.png/revision/latest?cb=20180219123936,Mecha Liz,4,Alter Ego,Man,B,B,B,A,Q,10901,9997,Welfare,Pellet,1,,,,,Pellet,1,,,,,,,Pellet,1,,,,,Pellet,1,,,,,,,blueRider,4,blueBerserker,4,,,blueRider,10,blueBerserker,10,,,,,redRider,4,redBerserker,4,,,redRider,10,redBerserker,10,,,,,goldRider,4,goldBerserker,4,,,goldRider,10,goldBerserker,10,,,,,Tearstone,4,Grease,4,Scale,7,Wine,7,,,
Mecha Eli-chan MK II,191,https://vignette.wikia.nocookie.net/fategrandorder/images/a/a9/Icon_Servant_191.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/5/5e/MecaEriChanMk2FinalIcon.png/revision/latest?cb=20180219123942,Mecha Liz MK II,4,Alter Ego,Man,B,B,B,A,Q,10901,9997,Welfare,Pellet,1,,,,,Pellet,1,,,,,,,Pellet,1,,,,,Pellet,1,,,,,,,blueRider,4,blueBerserker,4,,,blueRider,10,blueBerserker,10,,,,,redRider,4,redBerserker,4,,,redRider,10,redBerserker,10,,,,,goldRider,4,goldBerserker,4,,,goldRider,10,goldBerserker,10,,,,,Tearstone,4,Grease,4,Scale,7,Wine,7,,,
Medb [Saber],221,https://vignette.wikia.nocookie.net/fategrandorder/images/a/a0/S221Icon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/f/f7/MedbSaberFinalIcon.png/revision/latest?cb=20180819141151,Summer Medb,4,Saber,Earth,B,B,A,A,Q,13609,8017,Limited,pieceSaber,4,,,,,pieceSaber,10,Seashell,6,,,,,monumentSaber,4,Lanugo,5,Feather,4,monumentSaber,10,Feather,7,Root,4,,,blueSaber,4,,,,,blueSaber,10,,,,,,,redSaber,4,,,,,redSaber,10,Lanugo,3,,,,,goldSaber,4,Lanugo,5,,,goldSaber,10,Seashell,4,,,,,Seashell,8,Steel,5,Steel,15,Permafrost,20,Servant Summer Festival Re-Run,,
Medea,31,https://vignette.wikia.nocookie.net/fategrandorder/images/7/7a/Medeaicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/0/0b/MedeaFinalIcon.png/revision/latest?cb=20180212022208,Medea,3,Caster,Earth,B,A,A,A,Q,8643,7418,Permanent,pieceCaster,4,,,,,pieceCaster,8,Fang,12,,,,,monumentCaster,4,Dust,13,Heart,2,monumentCaster,8,Heart,3,Page,8,,,blueCaster,4,,,,,blueCaster,8,,,,,,,redCaster,4,,,,,redCaster,8,Dust,7,,,,,goldCaster,4,Dust,13,,,goldCaster,8,Fang,8,,,,,Fang,16,Lantern,4,Lantern,12,Page,16,,,
Medea [Lily],67,https://vignette.wikia.nocookie.net/fategrandorder/images/c/c0/Medealilyicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/3/39/MedeaLilyFinalIcon.png/revision/latest?cb=20180216122937,Medea Lily,4,Caster,Earth,B,A,A,A,Q,13070,7766,Story-locked,pieceCaster,4,,,,,pieceCaster,10,Dust,12,,,,,monumentCaster,4,Lantern,8,Feather,4,monumentCaster,10,Feather,7,Page,10,,,blueCaster,4,,,,,blueCaster,10,,,,,,,redCaster,4,,,,,redCaster,10,Lantern,4,,,,,goldCaster,4,Lantern,8,,,goldCaster,10,Dust,8,,,,,Dust,16,Heart,2,Heart,6,Page,20,Heian-kyou Chapter Release,,
Medusa,23,https://vignette.wikia.nocookie.net/fategrandorder/images/4/43/Medusaicon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/d/d5/MedusaFinalIcon.png/revision/latest?cb=20180212022200,Medusa,3,Rider,Earth,B,A,A,Q,Q,8937,7200,Permanent,pieceRider,4,,,,,pieceRider,8,Jewel,4,,,,,monumentRider,4,Dust,13,Horseshoe,4,monumentRider,8,Horseshoe,7,Feather,7,,,blueRider,4,,,,,blueRider,8,,,,,,,redRider,4,,,,,redRider,8,Dust,7,,,,,goldRider,4,Dust,13,,,goldRider,8,Jewel,3,,,,,Jewel,6,Heart,2,Heart,5,Feather,13,,,
Medusa [Lancer],146,https://vignette.wikia.nocookie.net/fategrandorder/images/1/1c/Medusalancericon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/9/96/MedusaLancerFinalIcon.png/revision/latest?cb=20180214132130,Medusa Lily,4,Lancer,Earth,B,A,A,Q,Q,13119,8253,Permanent,pieceLancer,4,,,,,pieceLancer,10,Seashell,6,,,,,monumentLancer,4,Seed,10,Feather,4,monumentLancer,10,Feather,7,Stinger,24,,,blueLancer,4,,,,,blueLancer,10,,,,,,,redLancer,4,,,,,redLancer,10,Seed,5,,,,,goldLancer,4,Seed,10,,,goldLancer,10,Seashell,4,,,,,Seashell,8,Lanugo,3,Lanugo,9,Jewel,16,,,
Meltryllis,163,https://vignette.wikia.nocookie.net/fategrandorder/images/a/a6/MeltlilithIcon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/d/d6/MeltlilithFinalIcon.png/revision/latest?cb=20180219123925,Meltlilith,5,Alter Ego,Earth,B,B,A,Q,Q,13402,11692,Limited,pieceLancer,5,pieceAssassin,5,,,pieceLancer,12,pieceAssassin,12,,,,,monumentLancer,5,monumentAssassin,5,,,monumentLancer,12,monumentAssassin,12,,,,,blueLancer,5,blueAssassin,5,,,blueLancer,12,blueAssassin,12,,,,,redLancer,5,redAssassin,5,,,redLancer,12,redAssassin,12,,,,,goldLancer,5,goldAssassin,5,,,goldLancer,12,goldAssassin,12,,,,,Horn,5,Lanugo,5,Scale,9,Scarab,9,Main Interlude: SE.RA.PH,,
Meltryllis [Lancer],266,https://cdn.discordapp.com/attachments/321290706146557952/613339131094761473/MeltlilithLancerIcon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/7/7f/MysteriousAlterEgo%CE%9BFinalIcon.png,Summer Melt,4,Lancer,Earth,B,A,A,Q,Q,11749,9261,Limited,pieceLancer,4,,,,,pieceLancer,10,Seashell,6,,,,,monumentLancer,4,Horn,5,Feather,4,monumentLancer,10,Feather,7,Steel,10,,,blueLancer,4,,,,,blueLancer,10,,,,,,,redLancer,4,,,,,redLancer,10,Horn,3,,,,,goldLancer,4,Horn,5,,,goldLancer,10,Seashell,4,,,,,Seashell,8,Permafrost,5,Permafrost,15,Egg,8,Las Vegas Official Bout,Las Vegas Official Bout Re-Run,
Mephistopheles,35,https://vignette.wikia.nocookie.net/fategrandorder/images/b/ba/Mephisicon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/3/3a/MephistophelesFinalIcon.png/revision/latest?cb=20180216122835,Mephisto,3,Caster,Earth,B,A,A,A,Q,9216,6839,Permanent,pieceCaster,4,,,,,pieceCaster,8,Dust,10,,,,,monumentCaster,4,Baby,7,Heart,2,monumentCaster,8,Heart,3,Lantern,8,,,blueCaster,4,,,,,blueCaster,8,,,,,,,redCaster,4,,,,,redCaster,8,Baby,4,,,,,goldCaster,4,Baby,7,,,goldCaster,8,Dust,7,,,,,Dust,13,Gear,4,Gear,12,Lantern,16,,,
Merlin,150,https://vignette.wikia.nocookie.net/fategrandorder/images/0/08/Merlinicon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/7/7d/MerlinFinalIcon.png/revision/latest?cb=20180211124253,Merlin,5,Caster,Earth,B,A,A,A,Q,14259,10546,Limited,pieceCaster,5,,,,,pieceCaster,12,Gear,8,,,,,monumentCaster,5,Page,10,Scarab,2,monumentCaster,12,Scarab,4,Scale,5,,,blueCaster,5,,,,,blueCaster,12,,,,,,,redCaster,5,,,,,redCaster,12,Page,5,,,,,goldCaster,5,Page,10,,,goldCaster,12,Gear,5,,,,,Gear,10,Root,3,Root,8,Heart,10,Las Vegas Official Bout,Las Vegas Official Bout Re-Run,
Minamoto no Raikou,114,https://vignette.wikia.nocookie.net/fategrandorder/images/a/a7/Yorimitsuicon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/1/13/MinamotoRaikouFinalIcon.png/revision/latest?cb=20180211124331,Raikou,5,Berserker,Sky,B,B,A,A,Q,13500,11556,Limited,pieceBerserker,5,,,,,pieceBerserker,12,Claw,5,,,,,monumentBerserker,5,Bone,29,Tearstone,3,monumentBerserker,12,Tearstone,6,Scale,5,,,blueBerserker,5,,,,,blueBerserker,12,,,,,,,redBerserker,5,,,,,redBerserker,12,Bone,15,,,,,goldBerserker,5,Bone,29,,,goldBerserker,12,Claw,3,,,,,Claw,6,Crystal,6,Crystal,18,Root,10,Heian-kyou Pre-Release Campaign,,
Minamoto no Raikou [Lancer],181,https://vignette.wikia.nocookie.net/fategrandorder/images/4/4e/S181.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/8/86/MinamotoRaikouLancerFinalIcon.png/revision/latest?cb=20180214132116,Summer Raikou,4,Lancer,Sky,B,B,A,Q,Q,12112,9168,Limited,pieceLancer,4,,,,,pieceLancer,10,Seashell,6,,,,,monumentLancer,4,Proof,24,Gear,4,monumentLancer,10,Gear,8,Heart,4,,,blueLancer,4,,,,,blueLancer,10,,,,,,,redLancer,4,,,,,redLancer,10,Proof,12,,,,,goldLancer,4,Proof,24,,,goldLancer,10,Seashell,4,,,,,Seashell,8,Wine,2,Wine,6,Horn,12,Imaginary Scramble Pre-Campaign,,
Miss Crane,307,https://static.wikia.nocookie.net/fategrandorder/images/7/7d/S307Icon.png,,https://static.wikia.nocookie.net/fategrandorder/images/3/31/S307A4Icon.png/,Miss Crane,5,Caster,Earth,B,A,A,A,Q,14971,9749,Limited,pieceCaster,5,,,,,pieceCaster,12,Feather,6,,,,,monumentCaster,5,Lamp,6,Gear,5,monumentCaster,12,Gear,10,Thread,12,,,blueCaster,5,,,,,blueCaster,12,,,,,,,redCaster,5,,,,,redCaster,12,Lamp,3,,,,,goldCaster,5,Lamp,6,,,goldCaster,12,Feather,4,,,,,Feather,8,Mirror,3,Mirror,8,Thread,24,Grail Live,,
Miyamoto Musashi,153,https://vignette.wikia.nocookie.net/fategrandorder/images/c/c8/Musashi_icon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/c/c4/MiyamotoMusashiFinalIcon.png/revision/latest?cb=20180212152518,Musashi,5,Saber,Man,B,B,B,A,Q,13635,12037,Limited,pieceSaber,5,,,,,pieceSaber,12,Proof,22,,,,,monumentSaber,5,Crystal,10,Gear,5,monumentSaber,12,Gear,10,Heart,5,,,blueSaber,5,,,,,blueSaber,12,,,,,,,redSaber,5,,,,,redSaber,12,Crystal,5,,,,,goldSaber,5,Crystal,10,,,goldSaber,12,Proof,15,,,,,Proof,29,Dust,12,Dust,36,Lanugo,15,20M Downloads Campaign,,
Miyamoto Musashi [Berserker],261,https://vignette.wikia.nocookie.net/fategrandorder/images/e/e3/S261Icon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/f/f6/MiyamotoMusashiBerserkerFinalIcon.png,Summer Musashi,5,Berserker,Man,B,B,A,A,Q,12150,12712,Limited,pieceBerserker,5,,,,,pieceBerserker,12,Proof,22,,,,,monumentBerserker,5,Seashell,10,Lamp,3,monumentBerserker,12,Lamp,6,Gallstone,5,,,blueBerserker,5,,,,,blueBerserker,12,,,,,,,redBerserker,5,,,,,redBerserker,12,Seashell,5,,,,,goldBerserker,5,Seashell,10,,,goldBerserker,12,Proof,15,,,,,Proof,29,Ring,6,Ring,18,Mirror,10,Las Vegas Official Bout,Las Vegas Official Bout Re-Run,
Miyu Edelfelt,236,https://vignette.wikia.nocookie.net/fategrandorder/images/b/b5/S236Icon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/8/82/MiyuEdelfeltFinalIcon.png/revision/latest?cb=20190123144010,Miyu,4,Caster,Man,B,A,A,A,Q,12005,8629,Limited,pieceCaster,4,,,,,pieceCaster,10,Proof,18,,,,,monumentCaster,4,Dust,16,Root,2,monumentCaster,10,Root,4,Feather,8,,,blueCaster,4,,,,,blueCaster,10,,,,,,,redCaster,4,,,,,redCaster,10,Dust,8,,,,,goldCaster,4,Dust,16,,,goldCaster,10,Proof,12,,,,,Proof,24,Lanugo,3,Lanugo,9,Seashell,20,,,
Mochizuki Chiyome,185,https://vignette.wikia.nocookie.net/fategrandorder/images/e/ea/S185.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/4/40/MochizukiChiyomeFinalIcon.png/revision/latest?cb=20180217094150,Chiyome,4,Assassin,Earth,B,A,A,Q,Q,11637,8510,Permanent,pieceAssassin,4,,,,,pieceAssassin,10,Stinger,15,,,,,monumentAssassin,4,Magatama,8,Root,2,monumentAssassin,10,Root,4,Gallstone,4,,,blueAssassin,4,,,,,blueAssassin,10,,,,,,,redAssassin,4,,,,,redAssassin,10,Magatama,4,,,,,goldAssassin,4,Magatama,8,,,goldAssassin,10,Stinger,10,,,,,Stinger,20,Claw,3,Claw,9,Dust,40,Atlantis Chapter Release,Hunting Quest 10,
Mordred,76,https://vignette.wikia.nocookie.net/fategrandorder/images/2/21/Mordredicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/a/a8/MordredFinalIcon.png/revision/latest?cb=20180212151727,Mordred,5,Saber,Earth,B,B,A,A,Q,14680,11723,Permanent,pieceSaber,5,,,,,pieceSaber,12,Fang,18,,,,,monumentSaber,5,Crystal,10,Heart,2,monumentSaber,12,Heart,4,Scale,5,,,blueSaber,5,,,,,blueSaber,12,,,,,,,redSaber,5,,,,,redSaber,12,Crystal,5,,,,,goldSaber,5,Crystal,10,,,goldSaber,12,Fang,12,,,,,Fang,24,Claw,4,Claw,11,Scale,10,Valentine's 2020,Apocrypha Collab Re-Run,Valentine's 2021
Mordred [Rider],132,https://vignette.wikia.nocookie.net/fategrandorder/images/6/62/MordredRidericon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/2/26/MordredRiderFinalIcon.png/revision/latest?cb=20180215130323,Rider Mordred,4,Rider,Earth,B,A,A,Q,Q,11400,9212,Limited,pieceRider,4,,,,,pieceRider,10,Seashell,6,,,,,monumentRider,4,Medal,16,Fang,10,monumentRider,10,Fang,20,Scale,4,,,blueRider,4,,,,,blueRider,10,,,,,,,redRider,4,,,,,redRider,10,Medal,8,,,,,goldRider,4,Medal,16,,,goldRider,10,Seashell,4,,,,,Seashell,8,Baby,5,Baby,15,Tearstone,12,,,
Mori Nagayoshi,251,https://vignette.wikia.nocookie.net/fategrandorder/images/5/50/S251Icon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/6/61/MoriNagayoshiFinalIcon.png,Mori,3,Berserker,Man,B,B,A,A,Q,8019,7732,Limited,pieceBerserker,4,,,,,pieceBerserker,8,Proof,15,,,,,monumentBerserker,4,Bone,20,Crystal,4,monumentBerserker,8,Crystal,7,Claw,5,,,blueBerserker,4,,,,,blueBerserker,8,,,,,,,redBerserker,4,,,,,redBerserker,8,Bone,10,,,,,goldBerserker,4,Bone,20,,,goldBerserker,8,Proof,10,,,,,Proof,20,Magatama,4,Magatama,12,Wine,7,GudaGuda Final Honnouji,GudaGuda Final Honnouji Re-Run,
